name,camera,display,price,processor,rating,rom
Apple iPhone 8 (PRODUCT)RED (Red| 64 GB),12MP Rear Camera | 7MP Front Camera,11.94 cm (4.7 inch) Retina HD Display,"59,990","A11 Bionic Chip with 64-bit Architecture, Neural Engine, Embedded M11 Motion Coprocessor Processor",4.7,64 GB ROM 
Apple iPhone 6 (Gold| 32 GB),8MP Rear Camera | 1.2MP Front Camera,11.94 cm (4.7 inch) Retina HD Display,"22,999",A8 Chip with 64-bit Architecture and M8 Motion Co-processor,4.4,32 GB ROM 
Apple iPhone 6s Plus (Gold| 32 GB),12MP Rear Camera | 5MP Front Camera,13.97 cm (5.5 inch) Retina HD Display,"33,999",Apple A9 64-bit processor and Embedded M9 Motion Co-processor,4.4,32 GB ROM 
Apple iPhone 7 (Rose Gold| 32 GB),12MP Rear Camera | 7MP Front Camera,11.94 cm (4.7 inch) Retina HD Display,"38,999",Apple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processor,4.5,32 GB ROM 
Apple iPhone 7 (Silver| 32 GB),12MP Rear Camera | 7MP Front Camera,11.94 cm (4.7 inch) Retina HD Display,"38,999",Apple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processor,4.5,32 GB ROM 
Apple iPhone 7 (Black| 32 GB),12MP Rear Camera | 7MP Front Camera,11.94 cm (4.7 inch) Retina HD Display,"38,999",Apple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processor,4.5,32 GB ROM 
Apple iPhone 7 (Gold| 32 GB),12MP Rear Camera | 7MP Front Camera,11.94 cm (4.7 inch) Retina HD Display,"38,999",Apple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processor,4.5,32 GB ROM 
Apple iPhone 6s (Silver| 32 GB),12MP Rear Camera | 5MP Front Camera,11.94 cm (4.7 inch) Retina HD Display,"28,999",Apple A9 64-bit processor and M9 Motion Co-processor,4.4,32 GB ROM 
Apple iPhone 6s Plus (Space Grey| 32 GB),12MP Rear Camera | 5MP Front Camera,13.97 cm (5.5 inch) Retina HD Display,"33,999",Apple A9 64-bit processor and Embedded M9 Motion Co-processor,4.5,32 GB ROM 
Apple iPhone 6s Plus (Rose Gold| 32 GB),12MP Rear Camera | 5MP Front Camera,13.97 cm (5.5 inch) Retina HD Display,"33,999",Apple A9 64-bit processor and Embedded M9 Motion Co-processor,4.4,32 GB ROM 
Apple iPhone 6s (Space Grey| 32 GB),12MP Rear Camera | 5MP Front Camera,11.94 cm (4.7 inch) Retina HD Display,"29,990",Apple A9 64-bit processor and Embedded M9 Motion Co-processor,4.5,32 GB ROM 
Apple iPhone 6s (Rose Gold| 32 GB),12MP Rear Camera | 5MP Front Camera,11.94 cm (4.7 inch) Retina HD Display,"29,990",Apple A9 64-bit processor and M9 Motion Co-processor,4.5,32 GB ROM 
Mu M200,1.3MP Rear Camera,3.66 cm (1.44 inch) Display,869,700 mAh Battery,4.1,32 MB RAM  32 MB ROM 
Apple iPhone 8 (Space Grey| 256 GB),12MP Rear Camera | 7MP Front Camera,11.94 cm (4.7 inch) Retina HD Display,"68,999","A11 Bionic Chip with 64-bit Architecture, Neural Engine, Embedded M11 Motion Coprocessor Processor",4.5,256 GB ROM 
Apple iPhone 6s Plus (Silver| 32 GB),12MP Rear Camera | 5MP Front Camera,13.97 cm (5.5 inch) Retina HD Display,"33,999",Apple A9 64-bit processor and Embedded M9 Motion Co-processor,4.4,32 GB ROM 
Apple iPhone 6s (Gold| 32 GB),12MP Rear Camera | 5MP Front Camera,11.94 cm (4.7 inch) Retina HD Display,"29,990",Apple A9 64-bit processor and Embedded M9 Motion Co-processor,4.4,32 GB ROM 
Apple iPhone X (Silver| 256 GB),12MP + 12MP | 7MP Front Camera,14.73 cm (5.8 inch) Super Retina HD Display,"1,01,999","A11 Bionic Chip with 64-bit Architecture, Neural Engine, Embedded M11 Motion Coprocessor Processor",4.6,256 GB ROM 
Apple iPhone 8 Plus (Silver| 64 GB),12MP + 12MP | 7MP Front Camera,13.97 cm (5.5 inch) Retina HD Display,"68,999","A11 Bionic Chip with 64-bit Architecture, Neural Engine, Embedded M11 Motion Coprocessor Processor",4.6,64 GB ROM 
Apple iPhone 8 Plus (PRODUCT)RED (Red| 64 GB),12MP + 12MP | 7MP Front Camera,13.97 cm (5.5 inch) Retina HD Display,"68,990","A11 Bionic Chip with 64-bit Architecture, Neural Engine, Embedded M11 Motion Coprocessor Processor",4.6,64 GB ROM 
Apple iPhone 8 Plus (Space Grey| 64 GB),12MP + 12MP | 7MP Front Camera,13.97 cm (5.5 inch) Retina HD Display,"68,999","A11 Bionic Chip with 64-bit Architecture, Neural Engine, Embedded M11 Motion Coprocessor Processor",4.6,64 GB ROM 
Apple iPhone 8 Plus (Gold| 64 GB),12MP + 12MP | 7MP Front Camera,13.97 cm (5.5 inch) Retina HD Display,"68,999","A11 Bionic Chip with 64-bit Architecture, Neural Engine, Embedded M11 Motion Coprocessor Processor",4.6,64 GB ROM 
Apple iPhone 7 Plus (Silver| 32 GB),12MP + 12MP | 7MP Front Camera,13.97 cm (5.5 inch) Retina HD Display,"51,999",Apple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processor,4.4,32 GB ROM 
Apple iPhone 7 Plus (Jet Black| 256 GB),12MP + 12MP | 7MP Front Camera,13.97 cm (5.5 inch) Retina HD Display,"64,999",Apple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processor,4.6,256 GB ROM 
Apple iPhone XS Max (Gold| 256 GB),12MP + 12MP | 7MP Front Camera,16.51 cm (6.5 inch) Super Retina HD Display,"1,24,900",A12 Bionic Chip Processor,4.7,256 GB ROM 
Apple iPhone XR (Coral| 256 GB),12MP Rear Camera | 7MP Front Camera,15.49 cm (6.1 inch) Display,"91,900",A12 Bionic Chip Processor,4.6,256 GB ROM 
Apple iPhone 8 (Gold| 256 GB),12MP Rear Camera | 7MP Front Camera,11.94 cm (4.7 inch) Retina HD Display,"68,999","A11 Bionic Chip with 64-bit Architecture, Neural Engine, Embedded M11 Motion Coprocessor Processor",4.5,256 GB ROM 
Apple iPhone 7 (Gold| 256 GB),12MP Rear Camera | 7MP Front Camera,11.94 cm (4.7 inch) Retina HD Display,"57,790",A10 Fusion Chip with 64-bit Architecture and Embedded M10 Motion Co-processor,4.7,256 GB ROM 
Apple iPhone 7 Plus (Silver| 256 GB),12MP + 12MP | 7MP Front Camera,13.97 cm (5.5 inch) Retina HD Display,"64,890",Apple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processor,4.6,256 GB ROM 
Apple iPhone 7 Plus (Black| 32 GB),12MP + 12MP | 7MP Front Camera,13.97 cm (5.5 inch) Retina HD Display,"50,499",Apple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processor,4.6,32 GB ROM 
